tmdbId,person_id,name,job
278,4027,Frank Darabont,Director
13,24,Robert Zemeckis,Director
680,138,Quentin Tarantino,Director
603,9340,Lana Wachowski,Director
603,9339,Lilly Wachowski,Director
274,16294,Jonathan Demme,Director
11,1,George Lucas,Director
550,7467,David Fincher,Director
329,488,Steven Spielberg,Director
424,488,Steven Spielberg,Director
120,108,Peter Jackson,Director
1891,10930,Irvin Kershner,Director
197,2461,Mel Gibson,Director
862,7879,John Lasseter,Director
280,2710,James Cameron,Director
629,9032,Bryan Singer,Director
1892,19800,Richard Marquand,Director
121,108,Peter Jackson,Director
122,108,Peter Jackson,Director
85,488,Steven Spielberg,Director
238,1776,Francis Ford Coppola,Director
14,39,Sam Mendes,Director
807,7467,David Fincher,Director
105,24,Robert Zemeckis,Director
155,525,Christopher Nolan,Director
857,488,Steven Spielberg,Director
275,1223,Joel Coen,Director
27205,525,Christopher Nolan,Director
98,578,Ridley Scott,Director
602,6046,Roland Emmerich,Director
5503,12989,Andrew Davis,Director
745,11614,M. Night Shyamalan,Director
568,6159,Ron Howard,Director
63,280,Terry Gilliam,Director
808,5524,Andrew Adamson,Director
808,12058,Vicky Jenson,Director
77,525,Christopher Nolan,Director
8587,15812,Roger Allers,Director
8587,18898,Rob Minkoff,Director
489,5216,Gus Van Sant,Director
812,15810,Ron Clements,Director
812,15811,John Musker,Director
268,510,Tim Burton,Director
22,1704,Gore Verbinski,Director
607,5174,Barry Sonnenfeld,Director
1637,2209,Jan de Bont,Director
36955,2710,James Cameron,Director
218,2710,James Cameron,Director
2493,3026,Rob Reiner,Director
581,1269,Kevin Costner,Director
137,1524,Harold Ramis,Director
762,10707,Terry Jones,Director
762,280,Terry Gilliam,Director
89,488,Steven Spielberg,Director
78,578,Ridley Scott,Director
12,7,Andrew Stanton,Director
585,12890,Pete Docter,Director
597,2710,James Cameron,Director
562,1090,John McTiernan,Director
348,578,Ridley Scott,Director
24,138,Quentin Tarantino,Director
510,3974,Miloš Forman,Director
38,201,Michel Gondry,Director
37165,2690,Peter Weir,Director
500,138,Quentin Tarantino,Director
194,2419,Jean-Pierre Jeunet,Director
240,1776,Francis Ford Coppola,Director
954,1150,Brian De Palma,Director
3049,4499,Tom Shadyac,Director
769,1032,Martin Scorsese,Director
101,59,Luc Besson,Director
272,525,Christopher Nolan,Director
9806,7087,Brad Bird,Director
10020,62047,Gary Trousdale,Director
10020,62048,Kirk Wise,Director
161,1884,Steven Soderbergh,Director
453,6159,Ron Howard,Director
601,488,Steven Spielberg,Director
18,59,Luc Besson,Director
36657,9032,Bryan Singer,Director
854,26713,Chuck Russell,Director
10681,7,Andrew Stanton,Director
788,10965,Chris Columbus,Director
114,1201,Garry Marshall,Director
73,814,Tony Kaye,Director
497,4027,Frank Darabont,Director
679,2710,James Cameron,Director
640,488,Steven Spielberg,Director
694,240,Stanley Kubrick,Director
557,7623,Sam Raimi,Director
1572,1090,John McTiernan,Director
180,488,Steven Spielberg,Director
620,8858,Ivan Reitman,Director
1893,1,George Lucas,Director
2501,11694,Doug Liman,Director
393,138,Quentin Tarantino,Director
157336,525,Christopher Nolan,Director
9802,865,Michael Bay,Director
185,240,Stanley Kubrick,Director
8467,7396,Peter Farrelly,Director
103,1032,Martin Scorsese,Director
1726,15277,Jon Favreau,Director
14160,12890,Pete Docter,Director
115,1223,Joel Coen,Director
115,1224,Ethan Coen,Director
492,5953,Spike Jonze,Director
9598,58137,Chris Noonan,Director
62,240,Stanley Kubrick,Director
141,1577,Richard Kelly,Director
664,2209,Jan de Bont,Director
627,2034,Danny Boyle,Director
414,5572,Joel Schumacher,Director
1422,1032,Martin Scorsese,Director
2164,6046,Roland Emmerich,Director
752,11266,James McTeigue,Director
19995,2710,James Cameron,Director
16869,138,Quentin Tarantino,Director
671,10965,Chris Columbus,Director
771,10965,Chris Columbus,Director
9377,11505,John Hughes,Director
146,1614,Ang Lee,Director
129,608,Hayao Miyazaki,Director
380,8246,Barry Levinson,Director
1124,525,Christopher Nolan,Director
2118,323,Curtis Hanson,Director
935,240,Stanley Kubrick,Director
863,7879,John Lasseter,Director
252,3451,Mel Stuart,Director
28,1776,Francis Ford Coppola,Director
107,956,Guy Ritchie,Director
600,240,Stanley Kubrick,Director
710,10702,Martin Campbell,Director
251,3415,Jerry Zucker,Director
8358,24,Robert Zemeckis,Director
289,4109,Michael Curtiz,Director
858,9248,Nora Ephron,Director
68718,138,Quentin Tarantino,Director
628,17016,Neil Jordan,Director
673,11218,Alfonso Cuarón,Director
9804,8300,Kevin Reynolds,Director
9331,13015,Phillip Noyce,Director
207,2690,Peter Weir,Director
9603,57434,Amy Heckerling,Director
49026,525,Christopher Nolan,Director
712,10723,Mike Newell,Director
672,10965,Chris Columbus,Director
604,9340,Lana Wachowski,Director
604,9339,Lilly Wachowski,Director
637,4818,Roberto Benigni,Director
2108,11505,John Hughes,Director
134,1223,Joel Coen,Director
2105,3289,Paul Weitz,Director
949,638,Michael Mann,Director
544,7396,Peter Farrelly,Director
544,7395,Bobby Farrelly,Director
87,488,Steven Spielberg,Director
578,488,Steven Spielberg,Director
630,9049,Victor Fleming,Director
641,6431,Darren Aronofsky,Director
11324,1032,Martin Scorsese,Director
817,6737,Jay Roach,Director
8844,4945,Joe Johnston,Director
162,510,Tim Burton,Director
1542,17403,Mike Judge,Director
